Id,Name,Email,Phone
0,Javier,javier@example.com,722-234-0934
1,Luis,luis@example.com,722-555-7463
2,Mariana,mariana@example.com,722-324-8596
3,Ximena,ximena@example.com,722-945-9393
4,Ricardo,ricardo@example.com,722-237-7529
5,Omar,omar@example.com,722-748-6623
6,Mario,mario@example.com,722-987-2376
7,Cesar,cesar@example.com,722-639-0992
8,Cesar,cesar@example.com,722-639-0992
9,Paola,paola@example.com,722-127-9380
10,Ximena,ximena@example.com,722-344-9366
11,Laura,laura@example.com,722-101-2525
12,Manolo,manolo@example.com,722-343-3943
13,Lalo,lalo@example.com,722-890-0044
14,Jose,jose@hotmail.com,722-189-7676
15,Manolo,manolo@example.com,722-871-8398
16,Lupe,lupe@hotmail.com,722-938-9983
17,Pablo,pablo@hotmail.com,722-345-7678
